,Lon,Lat,City nbr,City,wind,temp,humidity,clouds
96,114.89659768175858,53.54823753283071,96.0,verkh-usugli,4.94,3.39,74.0,0.0
97,-94.6573670234714,36.314508268264404,97.0,siloam springs,6.93,69.78,49.0,1.0
99,104.00046653814121,-75.03951339979315,99.0,albany,17.22,33.78,59.0,75.0
101,122.99753747354652,59.28224971174936,101.0,aldan,3.71,-5.12,64.0,20.0
102,-119.3678513052898,76.06917968066821,102.0,norman wells,3.36,12.2,61.0,40.0
103,-68.68260740023238,2.4439355219068233,103.0,inirida,2.15,80.03,83.0,12.0
104,54.01454291886333,41.02748610561372,104.0,balkanabat,1.25,35.7,85.0,48.0
106,2.5688309898396824,10.14368404422332,106.0,bembereke,10.2,78.9,61.0,0.0
108,24.282287900388667,-86.6435123685985,108.0,bredasdorp,2.24,68.0,72.0,32.0
110,-163.66382403519748,64.34633166021777,110.0,nome,6.93,75.67,73.0,90.0
111,-1.7015968098476435,45.18630837882432,111.0,arcachon,9.17,54.55,81.0,0.0
113,-40.16470409255675,-4.94393217846644,113.0,tamboril,6.96,75.71,82.0,76.0
118,-32.41977539936343,-59.16552062026065,118.0,mar del plata,15.01,64.82,46.0,12.0
121,-25.79904034530213,-31.13820751504764,121.0,sao joao da barra,6.93,78.8,83.0,0.0
123,-110.06202587754136,52.22869469064469,123.0,macklin,5.17,24.05,90.0,0.0
125,21.75646146009103,10.082211088819761,125.0,birao,4.61,67.79,34.0,0.0
126,-101.2337467069275,5.083650670617672,126.0,puerto escondido,11.41,82.4,74.0,20.0
127,30.575168463689863,-26.271436317435487,127.0,mhlambanyatsi,2.15,59.15,92.0,0.0
129,-23.021278580111954,39.44295395933631,129.0,vila franca do campo,19.46,57.2,71.0,40.0
131,-89.0546533740515,0.7608154083806227,131.0,puerto baquerizo moreno,13.87,82.4,74.0,75.0
132,-49.33970239186564,27.379493728926533,132.0,codrington,6.96,67.52,98.0,92.0
137,-137.17949817521168,60.0228414501924,137.0,haines junction,2.48,23.78,85.0,88.0
139,49.708355848947065,24.630972593152038,139.0,abu samrah,6.96,48.3,91.0,0.0
141,6.246996229531305,5.610371520934223,141.0,ughelli,6.73,78.54,89.0,24.0
142,-87.46222971720074,19.373570160943572,142.0,felipe carrillo puerto,5.73,80.03,68.0,44.0
145,-43.248178222216495,68.14141438287578,145.0,tasiilaq,26.4,30.2,68.0,44.0
146,131.8651383705864,61.62175682510011,146.0,churapcha,3.15,-17.18,49.0,0.0
147,-15.886922862755085,39.77530987719456,147.0,colares,20.8,56.44,82.0,40.0
148,22.775640821039644,13.881208425037016,148.0,adre,11.21,69.99,20.0,8.0
149,-50.62578275845277,44.33551403988233,149.0,torbay,2.24,32.31,100.0,90.0
151,66.4008979090587,7.363067850984848,151.0,kulhudhuffushi,7.63,83.45,100.0,0.0
153,119.11795545005748,45.21073555679146,153.0,chifeng,2.59,18.92,76.0,0.0
155,0.7659914971740136,63.29936852165997,155.0,brae,10.29,40.23,80.0,88.0
160,-130.1114148463998,28.75005105928861,160.0,lompoc,6.93,56.34,100.0,90.0
163,-42.69358149223976,3.710767031637829,163.0,carutapera,7.29,79.04,91.0,76.0
165,26.19994271489267,35.295588366403805,165.0,palaikastron,7.85,59.6,100.0,0.0
168,-153.63449028849598,69.84624632615518,168.0,barrow,13.0,60.05,99.0,92.0
171,-45.437109359113265,69.82389550439092,171.0,ilulissat,11.41,3.2,41.0,76.0
172,128.23508829667804,89.40563809312494,172.0,tiksi,1.36,-25.55,38.0,24.0
174,141.78805945505832,5.076516271496558,174.0,airai,1.7,71.03,95.0,92.0
177,120.97790979345922,-22.27671498565182,177.0,port hedland,8.05,80.6,74.0,40.0
